code_insee,beneficiaire_trans_eco,moyenne_conso_agri_hab,moyenne_conso_indus_hab,moyenne_conso_tertiaire_hab,moyenne_conso_residentiel_hab,moyenne_conso_totale_hab,emissions_ges,nb_actes_france_renov,friche,ecoquartiers,part_residences_secondaires,beneficiaire_prog,climat,gridens7,superf_choro,departement,gare_tgv,part_trajets_voiture,med_disp,p_pop,CSP_maire,com_variation_encours_dette_ha_pct,part_inactifs,part_actifs,dependance_eco,abstention_municipales,taux_creation_ent,total_entreprises,part_licencies_sportifs,part_jeunes_sans_diplome
22098,0,1.5559131305814677,0.04876648119819037,0.12986967980501468,2.984601378923224,4.730412108708787,18323,52,1,0,5.3,0,Autre,5,11.8,22,0,89.8,22240,1424,43,-36.7,13.412921348314608,51.40449438202247,90,49.2,17.3,52,21.839887640449437,10.5
22099,1,1.3450622092274307,7.730519176083489,2.240647182470597,3.2863598155596376,14.61243976352976,16379,72,2,0,4.6,0,Autre,6,21.87,22,0,89.6,21080,1099,74,-6.7,10.646041856232939,50.227479526842586,96,50.7,15,40,19.836214740673338,5.6
22101,0,1.5165133635091825,0.010629166954266103,0.16819309543402475,3.8561382652158125,5.582755453057363,12674,118,1,0,13.2,0,Autre,6,18.5,22,0,91.5,20530,1139,12,-15.5,12.993854258121159,49.60491659350307,99,52.6,9.8,61,17.032484635645304,6.1
22103,0,0,0,0.0971733852635463,3.4687293595741178,3.5764715950569115,1719,89,0,0,13.7,0,Mer,6,5.28,22,0,89.2,23620,974,75,-54.1,13.244353182751539,48.35728952772074,103,48.5,14.3,63,19.096509240246405,0
22104,0,0,0.8075764320875155,0.29860381983451045,2.8075233650477793,3.913703616969806,2502,51,0,0,16.8,0,Autre,6,8.61,22,0,87.8,19520,540,38,-80.1,14.25925925925926,45.74074074074074,102,11.6,20,25,12.222222222222221,0
22105,0,0.12204763606633373,1.551947564482808,0.511346305297912,3.5802154930629033,5.7655569989099575,9286,94,1,0,11.2,0,Autre,5,15.95,22,1,90.6,21490,1149,74,-28.6,14.882506527415144,48.38990426457789,101,40.9,18.5,65,16.100957354221062,7.6
22106,0,0.0020618108591174173,0.08197690351869484,2.8336720061020415,2.9693152801138907,5.921998738688425,15393,512,1,0,2,0,Mer,1,9.1,22,0,88.5,23320,7824,47,-39.5,13.215746421267893,45.91002044989775,115,55.3,19.3,446,26.1758691206544,7.6
22107,1,1.1083986033574131,0.6687646855636697,0.3492777789017808,3.857204078276103,6.039533969253524,19290,72,2,0,23.2,1,Autre,6,53.91,22,0,79.4,19500,1249,48,-46.3,14.651721377101682,37.710168134507605,152,44.4,14.3,91,10.88871096877502,2.8
22108,0,0.4717086405581617,0,1.1837381842459613,3.7794978601878633,5.4349446849919865,443,0,2,0,12.2,0,Autre,6,2.16,22,0,100,20580,122,64,26.8,9.836065573770492,47.540983606557376,130,15.2,25,4,16.39344262295082,0
22109,0,0,0,0.6452772438800857,4.663098950777431,5.308376194657517,1115,0,0,0,47.2,0,Autre,6,2.45,22,0,78.9,22440,224,12,-53.5,14.285714285714285,38.839285714285715,144,34.7,10,10,10.714285714285714,0
22110,0,0.3699727735173899,0,0.021403105114962715,2.601846614238606,2.993222492870958,2835,49,3,0,4.1,0,Autre,6,4.15,22,0,94.5,20390,592,74,-60.4,16.0472972972973,48.64864864864865,102,49.7,12.5,16,22.466216216216218,4.5
22111,0,0.29858747027768023,0.06540909722084354,0.06494322193552046,4.9605361076480845,5.389475897082128,1606,45,1,0,36.1,0,Mer,6,4.15,22,0,83.1,21000,402,35,-62.9,19.402985074626866,34.82587064676617,172,16.2,14.3,21,32.58706467661692,7.1
22112,0,1.0573340810049818,0,0.6012037002980493,3.1265649275922405,4.832631105367485,7062,11,1,0,16.7,0,Autre,6,6.99,22,0,88.9,20050,439,12,23.6,12.300683371298406,40.546697038724375,143,42,9.5,21,20.273348519362187,14.3
